GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,duoc.rocio.inventario.controller,RestockController,0,203,0,26,0,43,0,22,0,9
,duoc.rocio.inventario.controller,InventarioController,0,60,0,4,0,13,0,7,0,5
,duoc.rocio.inventario.controller,ProductoInventarioController,0,248,0,26,0,57,0,24,0,11
,duoc.rocio.inventario.controller,ProveedorController,0,89,0,10,0,21,0,11,0,6
,duoc.rocio.inventario,InventarioApplication,5,3,0,0,2,1,1,1,1,1
,duoc.rocio.inventario.service,RestockService,0,317,0,36,0,79,0,27,0,9
,duoc.rocio.inventario.service,ProductoInventarioService,0,157,0,16,0,36,0,18,0,10
,duoc.rocio.inventario.service,ProveedorService,0,73,0,6,0,20,0,9,0,6
,duoc.rocio.inventario.service,InventarioService,0,47,0,2,0,13,0,7,0,6
,duoc.rocio.inventario.exception,GlobalExceptionHandler,20,3,0,0,5,1,2,1,2,1
